Designator,Mid X,Mid Y,Rotation,Layer
SW40,237.9965,-96.151516,0.0,top
D9,117.3065,-65.031516,90.0,top
SW24,161.7965,-96.151516,0.0,top
D34,152.3065,-70.031516,90.0,top
SW9,85.5965,-115.201516,0.0,top
SW15,123.6965,-77.101516,0.0,top
SW45,168.7965,-139.271516,0.0,top
D40,152.3065,-60.031516,90.0,top
D10,122.3065,-70.031516,90.0,top
D26,142.3065,-70.031516,90.0,top
J1,92.7265,-47.941516,180.0,top
C3,71.7265,-52.681516,0.0,top
SW32,199.8965,-96.151516,0.0,top
OLED1,190.8265,-60.081516,0.0,top
D8,112.3065,-60.031516,90.0,top
D32,142.3065,-60.031516,90.0,top
D33,147.3065,-65.031516,90.0,top
R5,83.3465,-56.061516,0.0,top
SW18,123.6965,-134.251516,0.0,top
R7,179.8565,-61.991516,0.0,top
Y1,66.7765,-56.581516,0.0,top
SW27,180.8465,-77.101516,0.0,top
SW34,199.8965,-134.251516,0.0,top
D37,154.8065,-62.531516,90.0,top
SW31,199.8965,-77.101516,0.0,top
D42,162.3065,-70.031516,90.0,top
SW12,104.6465,-96.151516,0.0,top
SW43,130.65275,-139.316516,0.0,top
D20,129.8065,-57.531516,90.0,top
SW16,123.6965,-96.151516,0.0,top
SW38,218.9465,-134.251516,0.0,top
D11,114.8065,-52.531516,90.0,top
D31,137.3065,-55.031516,90.0,top
D2,79.1065,-53.221516,0.0,top
U1,91.5065,-60.531516,-90.0,top
SW21,142.7465,-115.201516,0.0,top
SW3,66.5465,-77.101516,0.0,top
D18,132.3065,-70.031516,90.0,top
F1,91.9765,-56.261516,0.0,top
D21,134.8065,-62.531516,90.0,top
D35,144.8065,-52.531516,90.0,top
SW39,237.9965,-77.101516,0.0,top
SW5,66.5465,-115.201516,0.0,top
D4,109.8065,-57.531516,90.0,top
R4,83.3765,-58.271516,0.0,top
D25,137.3065,-65.031516,90.0,top
SW20,142.7465,-96.151516,0.0,top
D16,122.3065,-60.031516,90.0,top
SW19,142.7465,-77.101516,0.0,top
SW33,199.8965,-115.201516,0.0,top
SW6,66.5465,-134.251516,0.0,top
MX1,237.8065,-49.781516,-90.0,top
D7,107.3065,-55.031516,90.0,top
SW7,85.5965,-77.101516,0.0,top
SW13,104.6465,-115.201516,0.0,top
SW41,237.9965,-115.201516,0.0,top
D44,187.4765,-67.341516,180.0,top
D12,119.8065,-57.531516,90.0,top
SW17,123.6965,-115.201516,0.0,top
D22,139.8065,-67.531516,90.0,top
SW1,64.6765,-45.561516,0.0,top
SW37,218.9465,-115.201516,0.0,top
D5,114.8065,-62.531516,90.0,top
D19,124.8065,-52.531516,90.0,top
D27,134.8065,-52.531516,90.0,top
D6,119.8065,-67.531516,90.0,top
SW35,218.9465,-77.101516,0.0,top
C2,63.0065,-70.801516,180.0,top
R2,83.3665,-50.611516,90.0,top
SW25,161.7965,-115.201516,0.0,top
Q1,167.8965,-67.481516,0.0,top
SW8,85.5965,-96.151516,0.0,top
C4,64.2265,-52.671516,0.0,top
R1,96.1465,-50.611516,90.0,top
SW26,161.7965,-134.251516,0.0,top
D17,127.3065,-65.031516,90.0,top
J2,58.7615,-52.526516,0.0,top
D13,124.8065,-62.531516,90.0,top
D14,129.8065,-67.531516,90.0,top
SW4,66.5465,-96.151516,0.0,top
D36,149.8065,-57.531516,90.0,top
J3,155.6165,-45.021516,-90.0,top
SW36,218.9465,-96.151516,0.0,top
D15,117.3065,-55.031516,90.0,top
SW29,180.8465,-115.201516,0.0,top
D24,132.3065,-60.031516,90.0,top
D28,139.8065,-57.531516,90.0,top
D39,147.3065,-55.031516,90.0,top
R3,76.3065,-58.281516,0.0,top
SW30,180.8465,-134.251516,0.0,top
R6,94.0665,-60.481516,0.0,top
SW14,104.6465,-134.251516,0.0,top
D41,157.3065,-65.031516,90.0,top
D38,159.8065,-67.531516,90.0,top
SW22,142.7465,-134.251516,0.0,top
D30,149.8065,-67.531516,90.0,top
D29,144.8065,-62.531516,90.0,top
SW10,85.5965,-134.251516,0.0,top
D43,178.6465,-64.431516,0.0,top
SW2,74.2465,-45.561516,0.0,top
D3,104.8065,-52.531516,90.0,top
SW42,237.9965,-134.251516,0.0,top
SW23,161.7965,-77.101516,0.0,top
SW11,104.6465,-77.101516,0.0,top
D1,89.5065,-53.231516,0.0,top
C1,65.1865,-70.801516,0.0,top
D23,127.3065,-55.031516,90.0,top
SW44,149.7165,-139.321516,0.0,top
SW28,180.8465,-96.151516,0.0,top
